mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	5	1	G.I		G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	4	2.0	0	0	4/4	5	1	vi7		G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
2	2	6	1.0	1/2	1/2	4/4	5	1	I6(9+4)		G	I		I6(9+4)	I		6	9+4				M	0	0	4, 1, 0	2, -1	0	4
2	2	7	1.0	3/4	3/4	4/4	5	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	8	4.0	0	0	4/4	5	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	12	2.0	0	0	4/4	5	1	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
4	4	14	2.0	1/2	1/2	4/4	5	1	IV.V		G	IV		V	V							M	0	0	1, 5, 2		1	1
5	5	16	4.0	0	0	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
6	6	20	2.0	0	0	4/4	5	1	vi7		G	IV		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	6	22	1.0	1/2	1/2	4/4	5	1	I6(9+4)		G	IV		I6(9+4)	I		6	9+4				M	0	0	4, 1, 0	2, -1	0	4
6	6	23	1.0	3/4	3/4	4/4	5	1	I6		G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	24	4.0	0	0	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
8	8	28	4.0	0	0	4/4	5	1	I\\		G	IV		I	I						\\	M	0	0	0, 4, 1		0	0
9	9	32	2.0	0	0	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
9	9	34	1.0	1/2	1/2	4/4	5	1	vi6		G	IV		vi6	vi		6					m	0	0	0, 4, 3		3	0
9	9	35	1.0	3/4	3/4	4/4	5	1	V6		G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	36	2.0	0	0	4/4	5	1	IV6		G	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	10	38	1.0	1/2	1/2	4/4	5	1	vi		G	IV		vi	vi							m	0	0	3, 0, 4		3	3
10	10	39	1.0	3/4	3/4	4/4	5	1	viio6/V		G	IV		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
11	11	40	2.0	0	0	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
11	11	42	4.0	1/2	1/2	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
12	12	46	2.0	1/2	1/2	4/4	5	1	I6		G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	48	1.0	0	0	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
13	13	49	1.0	1/4	1/4	4/4	5	1	V7(94)		G	IV		V7(94)	V		7	94				Mm7	0	0	1, 0, 2, -1	3	1	1
13	13	50	1.0	1/2	1/2	4/4	5	1	V7(4)		G	IV		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
13	13	51	1.0	3/4	3/4	4/4	5	1	V7		G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	52	2.0	0	0	4/4	5	1	I\\		G	IV		I	I						\\	M	0	0	0, 4, 1		0	0
14	14	54	3.0	1/2	1/2	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
15	15	57	1.0	1/4	1/4	4/4	5	1	viio		G	IV		viio	vii	o						o	0	0	5, 2, -1		5	5
15	15	58	2.0	1/2	1/2	4/4	5	1	IV6		G	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
16	16	60	1.0	0	0	4/4	5	1	vi		G	IV		vi	vi							m	0	0	3, 0, 4		3	3
16	16	61	1.0	1/4	1/4	4/4	5	1	viio6/V		G	IV		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
16	16	62	2.0	1/2	1/2	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
17	17	64	2.0	0	0	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
17	17	66	1.0	1/2	1/2	4/4	5	1	iii6	I64	G	IV		iii6	iii		6					m	0	0	1, 5, 4		4	1
17	17	67	1.0	3/4	3/4	4/4	5	1	iii	I6	G	IV		iii	iii							m	0	0	4, 1, 5		4	4
18	18	68	2.0	0	0	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
18	18	70	1.0	1/2	1/2	4/4	5	1	iii6	V(64)	G	IV		iii6	iii		6					m	0	0	1, 5, 4		4	1
18	18	71	2.0	3/4	3/4	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
19	19	73	2.0	1/4	1/4	4/4	5	1	V(4)		G	IV		V(4)	V			4				M	0	0	1, 0, 2		1	1
19	19	75	1.0	3/4	3/4	4/4	5	1	V7		G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	76	1.0	0	0	4/4	5	1	I(4)		G	IV		I(4)	I			4				M	0	0	0, -1, 1		0	0
20	20	77	1.0	1/4	1/4	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
20	20	78	1.0	1/2	1/2	4/4	5	1	viio6(+4)		G	IV		viio6(+4)	vii	o	6	+4				o	0	0	2, -1, 5	4	5	2
20	20	79	1.0	3/4	3/4	4/4	5	1	viio6		G	IV		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
21	21	80	2.0	0	0	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
21	21	82	2.0	1/2	1/2	4/4	5	1	viio		G	IV		viio	vii	o						o	0	0	5, 2, -1		5	5
22	22	84	1.0	0	0	4/4	5	1	I(94)		G	IV		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
22	22	85	1.0	1/4	1/4	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
22	22	86	1.0	1/2	1/2	4/4	5	1	viio6(42)		G	IV		viio6(42)	vii	o	6	42				o	0	0	4, -1, 0		5	4
22	22	87	1.0	3/4	3/4	4/4	5	1	viio6		G	IV		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
23	23	88	1.0	0	0	4/4	5	1	I.vi7		G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
23	23	89	1.0	1/4	1/4	4/4	5	1	ii64		G	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
23	23	90	1.0	1/2	1/2	4/4	5	1	I(94)		G	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
23	23	91	1.0	3/4	3/4	4/4	5	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	92	2.0	0	0	4/4	5	1	V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	94	2.0	1/2	1/2	4/4	5	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
25	25	96	4.0	0	0	4/4	5	1	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
26	26	100	2.0	0	0	4/4	5	1	v.VII		G	v		VII	VII							M	0	1	-2, 2, -1		-2	-2
26	26	102	1.0	1/2	1/2	4/4	5	1	v65		G	v		v65	v		65					mm7	0	1	-2, 2, -1, 1		1	-2
26	26	103	1.0	3/4	3/4	4/4	5	1	i		G	v		i	i							m	0	1	0, -3, 1		0	0
27	27	104	1.0	0	0	4/4	5	1	V(4)		G	v		V(4)	V			4				M	0	1	1, 0, 2		1	1
27	27	105	1.0	1/4	1/4	4/4	5	1	V		G	v		V	V							M	0	1	1, 5, 2		1	1
27	27	106	2.0	1/2	1/2	4/4	5	1	I\\		G	v		I	I						\\	M	0	1	0, 4, 1		0	0
28	28	108	2.0	0	0	4/4	5	1	VII		G	v		VII	VII							M	0	1	-2, 2, -1		-2	-2
28	28	110	1.0	1/2	1/2	4/4	5	1	v6		G	v		v6	v		6					m	0	1	-2, 2, 1		1	-2
28	28	111	0.5	3/4	3/4	4/4	5	1	VIM7		G	v		VIM7	VI	M	7					MM7	0	1	-4, 0, -3, 1		-4	-4
28	28	223/2	0.5	7/8	7/8	4/4	5	1	VI		G	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
29	29	112	1.0	0	0	4/4	5	1	V(4)		G	v		V(4)	V			4				M	0	1	1, 0, 2		1	1
29	29	113	1.0	1/4	1/4	4/4	5	1	V		G	v		V	V							M	0	1	1, 5, 2		1	1
29	29	114	3.0	1/2	1/2	4/4	5	1	i\\		G	v		i	i						\\	m	0	1	0, -3, 1		0	0
30	30	117	1.0	1/4	1/4	4/4	5	1	IV.V6		G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
30	30	118	3.0	1/2	1/2	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
31	31	121	1.0	1/4	1/4	4/4	5	1	ii7		G	IV		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
31	31	122	3.0	1/2	1/2	4/4	5	1	V/vi		G	IV		V/vi	V				vi			M	0	0	4, 8, 5		4	4
32	32	125	1.0	1/4	1/4	4/4	5	1	V/ii		G	IV		V/ii	V				ii			M	0	0	3, 7, 4		3	3
32	32	126	2.0	1/2	1/2	4/4	5	1	V/V		G	IV		V/V	V				V			M	0	0	2, 6, 3		2	2
33	33	128	2.0	0	0	4/4	5	1	V6		G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
33	33	130	2.0	1/2	1/2	4/4	5	1	I		G	IV		I	I							M	0	0	0, 4, 1		0	0
34	34	132	2.0	0	0	4/4	5	1	V\\		G	IV		V	V						\\	M	0	0	1, 5, 2		1	1
34	34	134	4.0	1/2	1/2	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
35	35	138	1.0	1/2	1/2	4/4	5	1	iii6		G	IV		iii6	iii		6					m	0	0	1, 5, 4		4	1
35	35	139	1.0	3/4	3/4	4/4	5	1	V		G	IV		V	V							M	0	0	1, 5, 2		1	1
36	36	140	1.0	0	0	4/4	5	1	I[I		G	IV	I	I	I							M	0	0	0, 4, 1		0	0
36	36	141	1.0	1/4	1/4	4/4	5	1	V6		G	IV	I	V6	V		6					M	0	0	5, 2, 1		1	5
36	36	142	1.0	1/2	1/2	4/4	5	1	I]		G	IV	I	I	I							M	0	0	0, 4, 1		0	0
36	36	143	1.0	3/4	3/4	4/4	5	1	V43(4)		G	IV		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
37	37	144	1.0	0	0	4/4	5	1	iii		G	IV		iii	iii							m	0	0	4, 1, 5		4	4
37	37	145	1.0	1/4	1/4	4/4	5	1	V6		G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
37	37	146	1.0	1/2	1/2	4/4	5	1	I[I		G	IV	I	I	I							M	0	0	0, 4, 1		0	0
37	37	147	1.0	3/4	3/4	4/4	5	1	V6		G	IV	I	V6	V		6					M	0	0	5, 2, 1		1	5
38	38	148	1.0	0	0	4/4	5	1	I		G	IV	I	I	I							M	0	0	0, 4, 1		0	0
38	38	149	1.0	1/4	1/4	4/4	5	1	V64		G	IV	I	V64	V		64					M	0	0	2, 1, 5		1	2
38	38	150	2.0	1/2	1/2	4/4	5	1	I]		G	IV	I	I	I							M	0	0	0, 4, 1		0	0
39	39	152	2.0	0	0	4/4	5	1	V\\		G	IV		V	V						\\	M	0	0	1, 5, 2		1	1
39	39	154	1.0	1/2	1/2	4/4	5	1	I.I		G	I		I	I							M	0	0	0, 4, 1		0	0
39	39	155	1.0	3/4	3/4	4/4	5	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
