mc	mn	onset	label
1	1	0	.g.i
4	4	3/4	I
5	5	0	VII
5	5	1/4	III6
5	5	1/2	IV
6	6	0	III\\
7	7	0	v.i
10	10	0	VII
10	10	1/4	III6
10	10	1/2	iv
11	11	0	III\\
11	11	1/2	III
12	12	0	V
15	15	0	v
15	15	1/4	iio6
15	15	1/2	V
16	16	1/2	i
17	17	0	VII.ii
17	17	1/2	V
18	18	0	I\\
18	18	3/4	III.I
19	19	3/4	IV
20	20	1/4	I6
20	20	1/2	V(4)
20	20	3/4	V
21	21	0	I\\
21	21	3/4	i.V
22	22	3/4	i
23	23	1/2	v.V7(4)
23	23	3/4	V
24	24	0	I\\
24	24	3/4	III.V
25	25	3/4	I\\
26	26	3/4	i.iv
27	27	1/4	ii6
27	27	1/2	V
28	28	0	I\\
28	28	1/4	IV.V
29	29	0	I
29	29	3/4	IV6
30	30	0	V(4)
30	30	1/4	V
30	30	1/2	I\\
31	31	1/8	VII.V[V
31	31	3/8	vi64
31	31	1/2	V]
32	32	1/2	I
33	33	1/4	IV6
33	33	1/2	V(4)
33	33	3/4	V
34	34	0	I\\
34	34	1/2	iv.IV
35	35	0	VII
36	36	0	III
37	37	0	i6
38	38	0	ii7
38	38	1/2	V43
39	39	0	I\\
39	39	1/2	I
41	41	0	I6
42	42	0	i.I
43	43	0	V
43	43	1/2	V(4)
44	44	1/2	V
45	45	0	I\\
45	45	1/2	i
46	46	0	i6-III
46	46	1/2	i
47	47	3/4	I
48	48	0	IV6
48	48	1/2	V
49	49	0	VII.I
49	49	3/4	I6
50	50	0	V
50	50	1/4	V(4)
50	50	3/4	V
51	51	0	I\\
51	51	1/2	i.IV
52	52	3/4	#viio6
53	53	0	i
54	54	0	V
54	54	1/2	i\\
55	55	0	III.vi
55	55	1/2	IV
56	56	1/2	ii
57	57	3/4	V/V
58	58	0	V6
58	58	1/2	VI
59	59	0	I
59	59	3/4	I6
60	60	0	V
60	60	1/4	V(4)
60	60	3/4	V
61	61	0	I\\
61	61	1/2	IV.IV
62	62	3/4	viio6
63	63	0	i
64	64	0	V
64	64	1/2	I\\
65	65	1/4	v.iv
65	65	3/4	i6(+4)
66	66	0	ii
66	66	1/4	#viio6
66	66	1/2	I
68	68	1/2	V(4)
68	68	3/4	V
69	69	0	I-i\\
70	70	1/4	ii.iv6
71	71	0	V
71	71	3/4	V7
72	72	0	i
72	72	1/2	V
73	73	0	I\\
73	73	3/4	I.IV
74	74	1/4	I6(+4)
74	74	1/2	ii
74	74	3/4	viio6
75	75	0	I
77	77	0	V(4)
77	77	1/4	V
77	77	1/2	I\\
78	78	3/4	v.IV6
79	79	1/2	V
80	80	1/4	V7
80	80	1/2	i
81	81	0	V(4)
81	81	1/2	V
82	82	0	I\\
