mc	mn	onset	label
1	1	0	.d.i
2	2	0	V
2	2	1/2	i
3	3	0	V
4	4	0	i\\
5	5	0	I
5	5	1/2	iv
6	6	0	v.V
6	6	1/2	i
7	7	0	I
7	7	1/2	iv
8	8	0	V
8	8	1/4	i
8	8	1/2	V
9	9	0	i\\
9	9	1/2	i.III-i6
9	9	3/4	i
10	10	0	V
11	11	0	i\\
11	11	1/4	VII.V/V
12	12	0	V
13	13	1/2	I\\
14	14	1/4	i.V/v
15	15	0	v
16	16	1/4	iii6
16	16	1/2	i\\
17	17	1/4	I
18	18	0	IV
18	18	3/4	viio64/VII
19	19	0	VII
19	19	1/4	viio6/VII
19	19	1/2	VII
20	20	1/2	III
21	21	0	i
21	21	1/2	V
22	22	0	i\\
22	22	1/8	i
23	23	1/2	IV.I6
23	23	3/4	I
24	24	0	V6
24	24	1/2	I
25	25	0	V
25	25	1/2	I\\
25	25	3/4	v.VII
26	26	0	V
27	27	0	i
27	27	1/2	i6
27	27	3/4	iv
28	28	0	V
28	28	1/2	i\\
28	28	3/4	i
29	29	0	#viio-V6
29	29	1/2	i
30	30	0	i
30	30	1/2	V6
30	30	3/4	#viio
31	31	0	i
32	32	0	V(4)
32	32	3/8	V
32	32	1/2	i
33	33	1/2	V(4)
33	33	7/8	V
34	34	0	i\\
34	34	3/4	III.V
36	36	0	I\\
36	36	3/4	i.VI-iv6
37	37	3/4	v-III6
38	38	0	iv
39	39	1/4	I
39	39	1/2	iv
40	40	0	I\\
40	40	1/2	i
42	42	0	V
42	42	1/4	V(64)
42	42	1/2	V(4)
42	42	3/4	V
43	43	0	I\\
43	43	1/2	IV.V
44	44	0	I
44	44	1/2	I6
45	45	0	V
45	45	1/4	V(64)
45	45	1/2	V(4)
45	45	3/4	V7
46	46	0	I\\
46	46	1/2	v.VII
47	47	0	v
47	47	1/2	III
48	48	0	i
48	48	1/2	i6
49	49	0	V
49	49	1/2	i\\
50	50	0	i.v
50	50	1/4	IV
50	50	1/2	III
51	51	0	i
52	52	0	V(64)
52	52	1/4	V
52	52	3/4	V7
53	53	0	i\\
53	53	1/2	i
54	54	0	iv6
54	54	1/2	iv
57	57	0	I\\
